IAB ID,COMPANY NAME,EMAIL,NAME OF PROPRIETOR/ PARTNER/ DIRECTOR(s) & DESIGNATION:,FULL TIME TECHNICAL PERSONNEL OF THE FIRM/COMPANY:,OFFICE ADDRESS,Rating,WEBSITE
IAB-RP-W01,ABASHAN UPODESHTA LIMITED (Est-1996), mail@abashan.com,Ar. Luva Nahid Chowdhury (C-018) Managing Director,3 2 Total 5," Bengal Centre, Plot 2, Civil Aviation, New Airport Road, Khilkhet, Dhaka-1229",4.7, www.4wallsbd.com
IAB-RP-V07,ADS ARCHITECTS DESIGN STUDIO (Est-2005), ads.architectstudio@gmail.com Contact: +88-02-8950536,Ar. Md. Sayedul Hasan (H-103) Principal Architect,4 1 Total 5," House#29-31, Road#18, Sector#7, Uttara , Dhaka 1230",4.4, www.vitti.com.bd
IAB-RP-V06,AKRITY (Est-2008)," akriti.si@gmail.com,",Ar. Monir Hossain Khan (K-104) Architect,1 7 Total 8," House-10/GA (GF), Road-2, Shyamoli, Dhaka",4.7,
IAB-RP-V05,ANWAR & ASSOCIATES (Est-25/01/2006), ahaq06@yahoo.com Contact: +88-02-8837313,Ar. Anwarul Haq Chow (C-021) Principal Architect,1 3 Total 4," House #221(GF), Road -15, New DOHS, Mohakhali, Dhaka 1206.",4.8, www.vuumaatra.com
IAB-RP-V04,AYOTEEK (Est-2016)," arc.architect@gmail.com, nahaskhalil@yahoo.com",Ar. Nahas Ahmed khalil (K-022) Principal Architect,5 3 Total 8," 60A, Road 7A, Dhanmondi, Dhaka-1209",4.6, www.volumezeroltd.com 
IAB-RP-V03,ARC ARCHITECTURAL CONSULTANTS (Est-1982)," archdoers@gmail.com Contact: 01816506988, 01816506989",Ar. Quazi Fahima Naz (N-024) Partner Architect & Ar. Subrata CH.Sikder (S-112) Partner Architect,3 2 Total 5," H#252,R#19(old),West Dhanmondi,Dhaka-1209",4.7,http://www.delvistaa.com/
IAB-RP-V02,ARCHDOERS (Est-2012)," studio@archeground.com, arche_ground@yahoo.com",Ar. Nabi Newaz Khan (K-106) Chairman & Ar. Lutfullahil Majid (M-076) Managing Director & Ar. Md. Jubair Hasan (H-163) Director,6 3 Total 9," “NoorMahal”, 44/1, Lake-Circus, Kalabagan, Dhaka-1205",4.6,
IAB-RP-V01,ARCHEGROUND LTD. (Est-2012)," archfield2010@gmail.com Contact: 01713338002, 01819117710",Ar. Syeda Nitee Mahbub (M-090) Partner & Ar. Wares-Ul-Ambia (A-145) Partner,4 1 Total 05," 32/D, Road-10, Banani",3.8,
IAB-RP-U02,ARCHFIELD (Est-2010), cmfoundation@gmail.com Contact: +88-02-8125830,Ar. Md. Hasan Shams Uddin (S-014) Managing Director,1 5 Total 6," House# 1/4,Flat# C4,Block# C, Lalmatia, Dhaka-1207",4.7,
IAB-RP-U01,ARCHITECT HASAN & ASSOCIATES LTD. (Est-02/04/1998)," sazal953@gmail.com Contact: 044-78004350, 044-78004353",Ar. S.M. Helaluddin Ahmed (A-101) Proprietor,3 1 Total 4," House-2/8, Block-E, Lalmatia, Dhaka",4.3,
IAB-RP-U01,ARCHITECT HASAN & ASSOCIATES LTD. (Est-02/04/1998), archiworks.bd@hotmail.com,Ar. Mohammad Arefeen Ibrahim (I-047) Proprietor,4 2 Total 6," House-48, Road-02, Block-B, Niketan, Gulshan 01, Dhaka-1212",4.8, www.triotect.com.bd
IAB-RP-T04,ARCHITECTES CONTEMPORAIN (ARCON) (Est-1996), mail@archsel.com,Ar. Imtiaz Farid Chowdhury(C-036) Chief Architect,2 6 Total 8," 34/KA, Shyamoli Pisiculture H/S, Dhaka-1207",4.7, www.thalbd.com 
IAB-RP-T03,ARCHIWORKS CONSULTANTS (Est-2009), arescon@gmail.com Contact: +88-02-8151121,Ar. Md. Helal Uddin (U-006) CEO/Proprietor,1 4 Total 5," 137-Jahanara Garden, 5th Floor, E-4, Green Road, Dhaka-1205",4.5, www.tknrk.com 
IAB-RP-T02,ARCHSEL (Est-1997), info@artisanbd.com,Ar. Sayeed Parvez Reza Latif (L-007) Managing Director,1 5 Total 6," 56/A, DOHS Road, Old DOHS, Banani, Dhaka-1206",,
IAB-RP-T01,ARESCON CONSULTANT (Est-2004), artyspace.designstudio@gmail.com Contact: +88-031-2867388,Ar. Ananya Bikash Barua (B-040) Chief Architect,1 4 Total 5," Azad Bhaban (7th Floor), 79/A, Jamal Khan Road, Chittagong, Bangladesh",,
